CASE_DESCRIPTION,CASE_TYPE,TITLE,LLM_Classification
"In de gasstraat van GT 1 te Leiden, welke ATEX gezoneerd is als een Zone 2, een sigarettenpeuk gevonden.",Asset and Reputation damage/loss,Sigaretten peuk gevonden in een Atex Zonering,Non-Process Safety
Rond pakorning ledningar - risk for pakorning av nivastall spartankar,Asset and Reputation damage/loss,Rond pakorning ledningar - risk for pakorning av nivastall spartankar,Non-Process Safety
Oskarshamn 3 - Obesiktad stege D1.81,Asset and Reputation damage/loss,Oskarshamn 3 - Obesiktad stege D1.81,Non-Process Safety
doordat de niveau metingen niet goed hebben gefunctioneerd is het krijt uit de overstort gekomen en is de silo sterk vervuild,Process Safety,krijttank is overgelopen dit is in de nacht van 9 op 10 juni gebeurt,Non-Process Safety
WP12.2 varmgang i kontakt Brandrisk,Operational loss,WP12.2 varmgang i kontakt Brandrisk,Non-Process Safety
Ausserhalb der OEffnungszeit der Pforte kommt die Feuerwehr nicht ohne fremde Hilfe ins Gebaeude,Process Safety,"BGL Eingang Gebaeude A, Pforte: Ausserhalb der OEffnungszeit der Pforte kommt die Feuerwehr nicht ohne fremde Hilfe ins Gebaeude",Non-Process Safety
"09.08.2022 11:17:49 Marko Goltz (M8048)                                                                                                                                                                                                                       Es wurde bereits im Vorfeld die Nachfaellung umfuehrt, weil verschlammt.

Die HG-Faellung wird jetzt als Nachfaellung betrieben und ist auch stark 
mit schwimmendem Schlamm beaufschlagt worden.

Es hat ein Gespraech stattgefunden, daraus wurden folgende Massnahmen 
abgeleitet.

Das Labor wird mit Unterstuetzung der Fa. Muentefering den Schlamm aus dem 
Abscheider der Nachfaellung entfernen und ab 10.08. soll die Nachfaellung 
wieder betriebsbereit sein.

P versucht weiter, wenn es die Truebung zulaesst, oder KionTauscher, also 
nur ueber MSF Wasser ins S-Netz abzuleiten, da Stand im REA 
Abwasserbehaelter >10m.
Die Ausschleusung aus der REA bleibt vorerst ausser Betrieb.

Im Nachgang werden weitere Analytiken durchgefuehrt, um das Problem mit 
dem ""Schwimmschlamm"" einzugrenzen, vermutlich ist deshalb auch der Gips 
verschmutzt. Da wird das Labor zeitnah informieren.",Process Safety,Stoerung RAA durch falsche Feststoffsedimentation.,Non-Process Safety
ENK Aussenbereich: Fast alle Aussenbeleuchtungen haben defekte Abdeckungen,Process Safety,Fast alle Aussenbeleuchtungen haben defekte Abdeckungen,Non-Process Safety
"U7 HPB steam leak at drum level on the continuous blow down valve, upon deisolation steam was whisping from the lagging and defected 08.11.  Today 23.11 steam leak is worse.",Process Safety,U7 HPB Steam Leak critical at drum level effecting WSC chemistry control,Non-Process Safety
Karton wurde ueber Lueftergitter befestigt.,Asset and Reputation damage/loss,6-kV Lueftungsgitter abgedeckt,Non-Process Safety
"Door de brand in mei 2023 is de cilinder van de bijstook ketel onherstelbaar beschadigd en vervangen door een nieuwe cilinder.
De stoomklep die door de cilinder wordt bedient, lekte stoom langs de gland pakking. Door de hitte heeft de seal van de stangafdichting van de hydraulische cilinder het begeven en is olie gaan spuiten. De olielekkage is ontdekt voordat de lekkage dermate is toegenomen waardoor olie op de hete stoomdelen terecht komt en ontbrand.
De stoomklep is tijdens de reparatie na de brand niet aangepakt. 

Met de recentelijke reparatie is geconstateerd (info Thorsten), dat er onvoldoende gland pakking in de stoomafsluiter is toegepast.

Noot 1:
De snelsluitklep is tijdens de reparatie na de brand uitwendig geinspecteerd. Deze had geen schade opgelopen tijdens de brand. Zover bekend is deze klep recentelijk door Fortum gereviseerd.

Noot 2:
Uniper heeft geluk gehad dat de levering van de hydraulische cilinder zo is uitgelopen. Indien deze cilinder tijdens het stookseizoen was geleverd, waren er gelijk zoveel 'draai'uren mee gemaakt dat er onherroepelijk weer brand was uitgebroken.

Noot3:
De datum en tijd van de case is gebaseerd op de periode dat de olielekkages is ontdekt.",Operational loss,Bijna brand in RoCa3 door lekkende gland pakking snelsluitklep bijstookketel,Non-Process Safety
T0307/T0309 Oppen branddorr.  WP4.1?,Operational loss,T0307/T0309 Oppen branddorr.  WP4.1?,Non-Process Safety
In der Schalt-Steuerzelle 4 stehen Aktenordner in Kartons (Brandlast).,Process Safety,Datteln 4 - In der Schalt-Steuerzelle 4 stehen Aktenordner in Kartons (Brandlast).,Non-Process Safety
"Den Flucht- und Rettungsplan alle 2 Jahre pruefen. Generell ist es vorgesehen, dass Flucht- und Rettungsplaene alle 2 Jahre geprueft werden. Hierbei ist nachzusehen, ob der Flucht- und Rettungsplan aktuell ist und alle Anforderungen der DIN ISO 23601 entspricht.",Process Safety,Flucht-und Rettungsplaene,Non-Process Safety
"Maschinenhaus 0,0 m Zwillingsvorwaermer: Defekte Manometer",Process Safety,Defekte Manometer,Non-Process Safety
UMC Gázturbina csarnokban a karbantartás során az eltávolított burkolatokat nem rendezett módon tárolták.,Asset and Reputation damage/loss,UMC - Gázturbina csarnok,Non-Process Safety
Skogransen var asidosatt vid port 10,Process Safety,Skogransen var asidosatt vid port 10,Non-Process Safety
ROG 330 - Klimaanlage 2000.2.1.38.204400/6 macht hoerbar laute Geraeusche. Zudem ist die Wartung am Klimaanlagengeraet draussen Nr. 2000.2.1.38.2024400/1 faellig.,Asset and Reputation damage/loss,ROG 330 - Klimaanlage macht Geraeusche. Wartung Klimaanlage faellig.,Non-Process Safety
Anlage Kuehlwasserpumpen (nahe der beiden Kuehltuerme):Untere Ebene (Pumpensumpf) mit Standwasser und teilweise mit Laub u. ae. benetzt: Pumpensumpf saeubern und Wasser absaugen,Process Safety,Anlage Kuehlwasserpumpen mit Standwasser und teilweise mit Laub u. ae. benetzt,Non-Process Safety
SAM-Auswertung zeigen noch viele nicht erledigte Schulungen. Die Schulungen sollten bis zum 09.12.2024 durchgefuehrt werden. Die SAM- Auswertung wird im Protokoll der 4. ASA-Sitzung festgehalten.,,SAM Schulungen,Non-Process Safety
"CPU 1 ME-003  tested with air 4 bar  without a PSV.
Hot Work Permit # 35338
ICC # 2674",Process Safety,Pressure test without protection.,Non-Process Safety
Brist i HSE-rutiner kring VCM-processen.,Process Safety,Brist i HSE-rutiner kring VCM-processen.,Non-Process Safety
WP4.1 omarkta gasflaskor T1403,Asset and Reputation damage/loss,WP4.1 omarkta gasflaskor T1403,Non-Process Safety
Klotter B1 plan 10 vid avsokningsramen/dorr till trappa upp till plan 11,Process Safety,Klotter B1 plan 10 vid avsokningsramen/dorr till trappa upp till plan 11,Non-Process Safety
Nach der Installation der neuen E- Kreuze ist auf der Bohrung  BW61 ein WR-UTSAV installiert worden. Bei der Betriebskontrolle wurde bei geschlossenem UTSAV ein Druck auf dem Kontrollmanometer festgestellt. Daraufhin wurde der Druck in Richtung in die zugehoerigen Steuereinheit entlastet. In diesem Zuge wurde festgestellt dass sich um ein Gasdruck handelte. Ursaechlich ist dieser entstandene Gasdruck der Installation des WR-UTSAV zu zuschreiben. Grund ist das Versagen der untertaegigen Abdichtung zwischen UTSAV und der Bohrung fuer die Kontrollleitung im Landenippel.,Process Safety,Gasdurchschlag bei der Kontrollleitung des UTSAV,Non-Process Safety
"SC niet meer te bedienen, uitschakelen van de blindlast  na verzoek tennet niet mogelijk. Noodstop op de lessenaar is niet aanwezig, alleenb via DCS waar geen communicatie mee was.",Process Safety,"SC niet meer te bedienen, communicatie met EFM02 geheel weggevallen",Non-Process Safety
"Oskarshamn 3 - RA3-23 ERF - Krock mellan flera pagaende arbeten orsakade spanningslos 673 WA1 under arbeten i Sub A, RA-23.",Process Safety,"Oskarshamn 3 - RA3-23 ERF - Krock mellan flera pagaende arbeten orsakade spanningslos 673 WA1 under arbeten i Sub A, RA-23.",Non-Process Safety
WP4.1 ledslinga ej komparativa T0201,Process Safety,WP4.1 ledslinga ej komparativa T0201,Non-Process Safety
"Eneco heeft geconstateerd dat een aannemer zonder brandwacht aan het lassen was. De monteur kwam hiervoor naar mij toe, waarop ik hem attendeerde dat lassen ook niet was meegenomen in de werkvergunning en ik van laswerkzaamheden niet op de hoogte was. Hierdoor heeft de monteur zijn werkzaamheden niet afgemaakt. De werkzaamheden worden opnieuw ingepland, afgestemd met het vergunningsregiem van Eneco in Hal5/KH3.",Process Safety,EDH: Geen brandwacht bij laswerkzaamheen,Non-Process Safety
De verlengsnoer verwijderd en de blokkering ( stuk pijp) de persoon op aangesproken,,Onveilige situatie kans op struikel gevaar,Non-Process Safety
"Ein Abflussschachtdeckel  wurde vermutlich durch das Abholen von Treibgut am Isarwehr Oberfoehring verschoben, sodass man hinieinfallen haette koennen.
Schacht wurde wieder in Ausgangsposition versetzt.",Asset and Reputation damage/loss,Verschobener Abflussschacht,Non-Process Safety
Nicht verschlossener Schaltschrank im Aussenbereich.,Process Safety,"DA 30-Begehung, OEltank, Tor 2; RKB - nicht verschlossener Schaltschrank im Aussenbereich",Non-Process Safety
"Beim woechentlichen durchgefuehrten Drehwerksbetrieb der kalten Turbine Block 4 wurde im Bereich des Wellendrehers eine OElundichtigkeit festgestellt. Das austretende OEl haette bei einem laengeren Betrieb in die Daemmung von in der Naehe befindlichen Rohrleitungen laufen koennen. Es haette dort zu einer gefaehrlichen Ansammlung von OEl kommen koennen, die eine potenzielle Brandgefahr dargestellt haetten.",Process Safety,OElundichtigkeit Wellendreher Turbine Block 4,Non-Process Safety
Es besteht aktuell keine erweiterter Personenschutz der CSUs gegen ein Umfahren von Personen.,Process Safety,"Begehung Hafenbereich
fehlender erweiterter Personenschutz der CSUs",Non-Process Safety
"Whilst GT2 was in service, a small fire / smoke was identified as coming from the exhaust duct lagging, the GT was taken out of service.",Process Safety,PSNH - GT2 exhaust duct minor fire / smoke,Non-Process Safety
Oskarshamn 0 - Natverksskap ej anslutet mot FYS-central.,Asset and Reputation damage/loss,Oskarshamn 0 - Natverksskap ej anslutet mot FYS-central.,Non-Process Safety
Oppen brandport V0301A Brandcell,Operational loss,Oppen brandport V0301A Brandcell,Non-Process Safety
Das OElpumpenhaus wird aktuell ausgeraeumt. In klar definierten Arbeitsbereichen entfernte die beauftragte Firma Rohrleitungen. Die standortspezifischen Vorgaben fuer Rueckbauarbeiten wurden eingehalten. Durch mangelnde Kennzeichnung einer in betrieb befindliche Druckluftleitung schnitt der Partner-MA diese mit dem Brennschneider an. Der MA erkannte sofort aufgrund des Luftaustritts den Fehler und stellte die Arbeiten ein. Der Partner-MA erlitt keinerlei Verletzungen. Nach Vorgabe wurde die Schicht ueber den AvO informiert und es wurden Sicherungsmassnahmen eingeleitet.,Asset and Reputation damage/loss,Fehlschnitt in Druckluftleitung OElpumpenhaus alt,Non-Process Safety
Risiko Weniger: Die Entleerungsleitung der Kuehlwasserpumpe 5 ist undicht.  Es wurde eine Meldung in SAP angelegt.,Process Safety,Risiko Weniger: Die Entleerungsleitung der Kuehlwasserpumpe 5 ist undicht.  Es wurde eine Meldung in SAP angelegt.,Non-Process Safety
KVT G13: Bomfasning vid driftsattning av ny utrustning,Process Safety,KVT G13: Bomfasning vid driftsattning av ny utrustning,Non-Process Safety
"An den Kohlen der Fremderregung der Gasturbine gibt es aus Kunststoff eine Schutzabdeckung. Leider haengt der Boden der Schutzabdeckung durch, siehe Bild im Anhang, sodass irgendjemand den Boden mit zwei Kabelbinder an einer Zuleitung befestigt (Auch ein Bild im Anhang). Aber ohne die Kabelbinder wird der Boden wahrscheinlich nach unten wegfallen, da die Durchbiegung so stark aussieht, dass der Boden aus den beiden Fuehrungsschienen rutscht. Ohne die Abdeckung besteht die Gefahr bei Betrieb oder im Drehbetrieb, dass eine Spannung entsteht/anliegt, die bei in der naehe befindlichen Personen, z. B. Rundgaengern, die Anlage vor Ort kontrollieren, zu gefaehrlichen Stromstoessen kommt.",Process Safety,Mangelhafte Befestigung an der Schutzabdeckung Fremderregung Gasturbine,Non-Process Safety
Common Services SCR Air Compressor No.2 isolator on DP2 switchboard has blown a lug off the outgoing cable to the compressor,Process Safety,PSNH - Common Services SCR Air Compressor No.2,Non-Process Safety
WP4.2 Stallning/tilltradesstege ej besiktad,Operational loss,WP4.2 Stallning/tilltradesstege ej besiktad,Non-Process Safety
"ROG 330, DGUV V3 Pruefung am Nahbedienplatz im Leittechnikraum ist faellig.",Asset and Reputation damage/loss,ROG 330 Schalthaus DGUV V3 Nahbedienplatz,Non-Process Safety
Tijdens het rijden op de heftruck binnen de cantrale in Leiden zakte de heftruck door de bestrating heen.,Asset and Reputation damage/loss,Wegzakken van de heftruck,Non-Process Safety
WP12 Golvbrunn nedskrapad,Process Safety,WP12 Golvbrunn nedskrapad,Non-Process Safety
Asbestos tiles found along walkway for the Roof Access. - Work stopped and Identification carried out.,Asset and Reputation damage/loss,SWPH 2 Roof - Asbestos tiles found along walkway for the Roof Access.,Non-Process Safety
"Begehung 40 URD, Kuehlturmpumpenbauwerk
Isolierkappen anbringen",Process Safety,"KGW2 Sicherheitsbegehung 24.08.2022
Isolierkappen anbringen",Non-Process Safety
"While performing functionality test on slam shut valve HP Pump 70, the valve failed to operate normally... staying closed instead of opening.",Process Safety,Slam Shut Valve (HP Pump 70) Failure,Non-Process Safety
Bristande informationssakerhet,Process Safety,Bristande informationssakerhet,Non-Process Safety
Sakrings lada oppen,Process Safety,Sakrings lada oppen,Non-Process Safety
Die Notlichtbeleuchtung funktioniert nicht.,Asset and Reputation damage/loss,ROG 330 - Notlicht ohne Funktion,Non-Process Safety
10UBA63-as konténer nyugati oldalon CO2 oltás kézi indító nyomógomb elérése hálóval akadályozva van. Sok idő a hozzáférés.,Process Safety,UBA konténer CO2 kézi indítása,Non-Process Safety
"U6 MBH55 fan GRA-61-MBH-55-AT001 is showing signs of distress with casing deformation and high vibrations. Further deterioration with time risk of catastrophic failure of motor or fan assembly.

Exclusion zone established on MBH55 gantry level to greatly reduce likelihood of personnel in vicinity receiving injury if the assembly were to fail in service.",Process Safety,U61 MBH55 Fan Risk of Failure: GMI PEM-120 Exclusion Zone,Non-Process Safety
RW: Im ES Gebaeude ist eine Leitung durch Wassereintritt ausgefallen. Der Bereich wurde abgeschaltet durch I/ET. Es wurde eine Stoermeldung angelegt.,Process Safety,RW: Im ES Gebaeude ist eine Leitung durch Wassereintritt ausgefallen. Der Bereich wurde abgeschaltet durch I/ET. Es wurde eine Stoermeldung angelegt.,Non-Process Safety
Im Fernwirkraum sind Papiersaecke mit Verpackungsmuell und Kabelschrottresten gelagert. Auch waehrend laufender Arbeiten ist auf die Ordnung am Arbeitsplatz zu achten.,Asset and Reputation damage/loss,"BGL SH 1 FW Raum, Brandlasten durch Verpackungsmuell vorhanden.",Non-Process Safety
Die Anmeldung bezueglich der Gesundheitstage war nicht klassifiziert.,,Nicht klassifiziertes Anmeldedokument fuer die Gesundheitstage,Non-Process Safety
Der Schaltschrank ist mit Maeusefaekalien verunreinigt.,Process Safety,HSSE Schaltschrank reinigen - NH3-Lager Serverschrank,Non-Process Safety
Brandlarm G12 kontrollrum,Process Safety,Brandlarm G12 kontrollrum,Non-Process Safety
Die Beleuchtung im Eingangsbereich (Fluchtweg) ist defekt und muss erneuert werden.,Asset and Reputation damage/loss,BGL Geb. A Nebengebaeude Kellerraum. Defekte Beleuchtung.,Non-Process Safety
"Make Up Water Pelloby swing jib - KKS label does not match SAP KKS. 
SAP KKS is identified CDC-10-SMP-10 MuW Crane however crane is labelled CDC-10-SMP-01.
Originally reported by D Penny, SAP Notification 21509520. Which has prevented",Process Safety,Make Up Water Pelloby swing jib - KKS label does not match SAP KKS.,Non-Process Safety
"De Jong is heet werk aan het verrichten in het ATEX gebied (DFB-1) zonder persoonlijke gasdetectie en zonder dat een brandwacht hierbij aanwezig is.
Men is ook op een niet gekeurde steiger aan het werk.",Asset and Reputation damage/loss,Heet werk activiteiten in atex gebied (DFB-1) gestopt,Non-Process Safety
Die 6kV Kabel von der Maschine E4 sind an mehreren Stellen rissig.,Asset and Reputation damage/loss,6kV Maschine E4 rissig,Non-Process Safety
WP4.1. T03.08. Trasig luftledning.,Operational loss,WP4.1. T03.08. Trasig luftledning.,Non-Process Safety
while trying to shut the gates in front of the crane parked at the CW CDM area I noticed that the gate would not close upon further investigation I had noticed that the whole of the right hand side of the gate and support scaffold had been shunted and bent a scaffold tube,Asset and Reputation damage/loss,CW CDM vehicle gate scaffold moved or struck,Non-Process Safety
Oppet brandskap D0332,Asset and Reputation damage/loss,Oppet brandskap D0332,Non-Process Safety
"Unit tripped on shutdown at 172MW on high HP bypass temperature, alarm received just before and on DCS the bypass D/S control valve showed 100% with no flow evident. Gate valve upstream had not opened and was showing closed. Following trip the actuator was investigated and found the local 415V isolator open. Valve re-energized and test run successfully. Investigation required how the isolator was turned off.",Process Safety,Unit Trip,Non-Process Safety
WP4.1 Ej foljt rutin for heta arbeten B2 2T0320/ 2T0321,Asset and Reputation damage/loss,WP4.1 Ej foljt rutin for heta arbeten B2 2T0320/ 2T0321,Non-Process Safety
Der Kaeltemaschinenraum ist stark vermuellt.,Asset and Reputation damage/loss,"MH +9,0m Kaeltemaschinenraum - Baustelle aufraeumen",Non-Process Safety
Branddorrar stanger ej,Process Safety,Branddorrar stanger ej,Non-Process Safety
"Anvandande av STARK och medarbetarskyldighet kopplat till arbetet med oppna kontorslandskap, dvs stoppa/pausa arbetet med oppna kontorslandskap (OSA)",Asset and Reputation damage/loss,"Anvandande av STARK och medarbetarskyldighet kopplat till arbetet med oppna kontorslandskap, dvs stoppa/pausa arbetet med oppna kontorslandskap (OSA)",Non-Process Safety
PRI Beschaedigung Sammelschild,Asset and Reputation damage/loss,PRI Beschaedigung Sammelschild,Non-Process Safety
It was discovered that a change had been made on the access system for an individuals base location. This was an unauthorised change on the access system.,Information Security,SECURITY OBSERVATION - Unauthorised changes made an individuals profile on the access system,Non-Process Safety
WP4.1 gasflaskor felaktigt placerade t=319/T1403,Asset and Reputation damage/loss,WP4.1 gasflaskor felaktigt placerade t=319/T1403,Non-Process Safety
Small gas leak had previously been identified during a Gas testing and Purging course in the FGPH compound at CDC. during plant checks it was found that the leak had become much worse and required immediate attention.,Process Safety,Gas leak from flange.,Non-Process Safety
On unit shutdown 2B SSFP was used to bring the unit off load. The unit operator observed the No.6 (Pump non-drive end) bearing vibrations increased to ~15mm/s and promptly took the pump out of service.,Operational loss,Ops loss - 2B Start & Standby Feedpump taken out of service due to high vibration,Non-Process Safety
"Plant Simulations folder in Control room hard copies checked against records on SAP and simulations in force (applied on Speedtronic), discrepancies were found when comparing hard copies of simulations with SAP and speedtronic.",Process Safety,CQ-LMI 4109 Simulations and Temporary Modifications Management,Non-Process Safety
"Door storing I/O-kaart is persklep dichtgevallen en stond draagluchtventilator bij tegen een dichte klep met bijstaande heater.
Er is een luchttemperatuurbewaking, deze is niet aangesproken.
De elementbewaking 30ETP20AC021/2/3 van de heater is later wel aangesproken.
Na reparatie kaart moest de E-kasten van de heater gereset worden.

De volgende risico's waren aanwezig en dienen nader besproken te worden:
- Lokaal is de installatie te warm geworden. Hierdoor is gesmolten ""plastic"" te zien en was een rookwalm te zien. Inzet BHV was niet nodig.
Wat is hier gaan smelten/ roken en was er brandgevaar? Dienen de elementbewakingen eerder in te grijpen.
- De kast is horizontaal gemonteerd. Er ligt daardoor veel vliegas op de kast en moet eerst verwijderd worden om VLAS op E-elementen te voorkomen. Dit levert een kortsluitingsrisico en brandgevaar
- Uitvoeren van de reset op de kast is niet veilig te doen. Er zou 3 jaar geleden een MOC voor geschreven zijn die is afgewezen. Wat is de status van de MOC / reden van afwijzing?
- Hoe kunnen we (totdat er een MOC oplossing is) een veilige reset uitvoeren? Nu moet met een slecht geisoleerd hulpmiddel een mechanische reset gegeven worden. Dit is niet veilig.
- De kasten zijn niet goed bereikbaar. Er is geen goede ladder, tenminste niet goed te borgen, om veilig bij de kasten te kunnen werken.",Process Safety,Te warm geworden heater draaglucht + gevaarlijke reset,Non-Process Safety
"Das Speisewasserregelventil K7 ist im Durchgang undicht !
Die Regelcharakterristik des Ventils mit einem S-OEl-Brenner in Betrieb
erfordert einen staendigen Eingriff von Hand, da der Stand in der Trommel
im Automatikbetrieb nicht gehalten werden kann. Stand zu ""HOCH"" steht
immer an.",Process Safety,Spw.-Regv. im Durchgang undicht,Non-Process Safety
Es wurden im UVC Chemikalienbehaelter ohne die vorgeschriebene Kennzeichnung vorgefunden. Die verantwortliche Abteilung wurde noch waehrend der Begehung informiert.,Process Safety,Chemikalienbehaelter ohne Kennzeichnung,Non-Process Safety
"Vanochtend is Firma Innax (meetbedrijf) begonnen met het vervangen van de KWh meterets van Eenheid 2. Vergunning 300046166147
Eea is in de aanloop van de werkzaamheden zo voorbereid, om juist de werkzaamheden in bedrijf te kunnen uitvoeren, om dat er alleen aan de stroom kernen van KWH meet circuit gewerkt zou gaan worden. Tijdens het open maken (veiligstellen) van de Spanningstrafo’s is de Synchrone condensor getript door de generator beveiliging. Van af de spanningstransfrotoren worden wel degelijk beveiligs functies afgetakt, dit hebben we ongelukkige wijze over het hoofd gezien.",Operational loss,Trip SC na veiligstelling ivm werkzaamheden aan KWh-meetcircuit,Non-Process Safety
G24 - Tappat kommunikation och beredskap pga G25 DC stallverksbyte.,Process Safety,G24 - Tappat kommunikation och beredskap pga G25 DC stallverksbyte.,Non-Process Safety
Tijdens een poging de bijstookketel RoCa-3 weer in bedrijf te nemen (na een lange periode van stilstand a.g.v. brand) is er olielekkage opgetreden aan de MD-bypass regelklep.,Process Safety,Olie lekkage MD-bypass BK,Non-Process Safety
Dubbel fout. 2x krachtstroom kabel tussen stalen deur en stalen sponning doorgevoerd. Het betreft de UGB MPP3. 1ste deur open gehouden met een stuk steigerplank. 2de deur open gehouden met een afzet pilon. Het is sowieso ten strengste verboden om afzettingen te verplaatsen voor andere doeleinden.  Zijde van de proces en demi-water tank. Deur nr 30UGB03R094,Process Safety,Dubbel fout. 2x krachtstroom kabel tussen stalen deur en stalen sponning doorgevoerd.,Non-Process Safety
Bei einem Routinerundgang durch einen MA der Schicht wurde eine Undichtigkeit an der Stopfbuchse des Speisewasserdruckschiebers vor Kessel festgestellt. Es tritt eine geringe Menge Speisewasser aus.,Process Safety,"Undichtigkeit Stopfbuchse mit Medium Austritt am Speiserwasserdruckschieber vor Kessel.
04 LAB30AA101",Non-Process Safety
WP12.2 Klippt brandkabel,Asset and Reputation damage/loss,WP12.2 Klippt brandkabel,Non-Process Safety
Ophanging rollen veranderd zonder dat dit gemeld is. Tijdens proef draaien is geconstateerd dat de scheefloop taster niet meer functioneerde doordat de band omhoog gekomen is.,Process Safety,Ophanging rollen veranderd zonder dat dit gemeld is.,Non-Process Safety
WP4.1 Brandkabel skadad i 2T0602,Process Safety,WP4.1 Brandkabel skadad i 2T0602,Non-Process Safety
WP12.5 brister vid heta arbeten R1.40,Operational loss,WP12.5 brister vid heta arbeten R1.40,Non-Process Safety
WP 4.1 averkan pa driftsatt brandlarm,Operational loss,WP 4.1 averkan pa driftsatt brandlarm,Non-Process Safety
B1- Sortering av kontaminerade ror WP12.1 (WP14),Process Safety,B1- Sortering av kontaminerade ror WP12.1 (WP14),Non-Process Safety
"Im Zuge der Routinebegehungen durch die Betriebsfeuerwehr, wurde an einer Kohlehalde, Schwadenbildung festgestellt. Sofortmassnahmen zur Reduzierung der weiteren Ausbreitung wurden eingeleitet.",Process Safety,Schwadenbildung an der Kohlehalde,Non-Process Safety
Fluchttueren und Notausstiege muessen sich leicht und ohne besondere Hilfsmittel oeffnen lassen. Eine regelmaessige Kontrolle ist daher sinnvoll.,Process Safety,Funktionskontrolle der Panikschloesser,Non-Process Safety
Zur Reparatur einer FH-Leitung wurde eine Gelsenwasser-Leitung zum Teil frei gelegt. Es kam infolge der frostigen Witterung zum Einfrieren der Gelsenwasser-Leitung.,Process Safety,Eingefrorene Gelsenwasser-Leitung,Non-Process Safety
"Die Maschineneinheit 1 ist wegen Revisionseinheiten entspannt und mit Stickstoff gespuelt worden. Der Druck lag bei ca. 0,9 bar. Durch die vermutlich erhoehte Aussentemperatur kam es zu einem leichten Druckanstieg in der Maschine auf ca. 1 bar. Bei einem Bar ist der Einschaltpunkt vom Airblower (Notluftgeblaese). Am Grenzwertbaustein der SPS war keine Hysterese eingestellt. Somit wurde der Antrieb durch einen leicht schwankenden Druck immer wieder ein- und ausgeschaltet. Dies hatte zur Folge, dass die Anlaufwiederstaende des Gleichstrommotors stark ueberhitzten. Dem Leitstandfahrer war das Ein- und Ausschalten aufgefallen, woraufhin er den Entstoerungsdienst/die Bereitschaft informierte. Vor Ort wurde dann die UEberhitzung festgestellt.",Process Safety,UEberhitzter Anlaufwiederstand eines Gleichstromantriebes,Non-Process Safety
Oskarshamn 0 - Onodig dosexponering for 3e person vid port 1262  gallande radioaktivt gods,Environment,Oskarshamn 0 - Onodig dosexponering for 3e person vid port 1262  gallande radioaktivt gods,Non-Process Safety
Oskarshamn 0 - Skyddsrond - BVB 1 - rum G 2.01D - stadning - mycket papper (brannbart material),Asset and Reputation damage/loss,Oskarshamn 0 - Skyddsrond - BVB 1 - rum G 2.01D - stadning - mycket papper (brannbart material),Non-Process Safety
Oskarshamn 3 - WANO Peer Review - 23 Indications of corrosion in the metalic base of  the dryer of the  compresor 3.ZDK.104.,Process Safety,Oskarshamn 3 - WANO Peer Review - 23 Indications of corrosion in the metalic base of  the dryer of the  compresor 3.ZDK.104.,Non-Process Safety
Schallschutzkabine soll abschliessbar ausgefuehrt werden (ISMS),,Einbau Schliesszylinder in Wartenfahrerkabine Maschinenhaus,Non-Process Safety
Oskarshamn 0 - Larm for brandsprinkling loser obefogat,Process Safety,Oskarshamn 0 - Larm for brandsprinkling loser obefogat,Non-Process Safety
Dosratslarm vid sanering av tankcell,Process Safety,Dosratslarm vid sanering av tankcell,Non-Process Safety
Eine unbekannte Fluessigkeit wurde vorgefunden,,Behaelter mit unbekannter Fluessigkeit.,Non-Process Safety
Oppen branddorr vandrarhem FP5,Asset and Reputation damage/loss,Oppen branddorr vandrarhem FP5,Non-Process Safety
WiVi - Durchschreibepapier im Schaltbuch ist verbraucht,Process Safety,WiVi - Durchschreibepapier im Schaltbuch ist verbraucht,Non-Process Safety
"Tijdens het uitrijden van H2 paketten in het H2- huisje is een leiding verbogen. Dit is ontstaan als gevolg van het blijven haken van een paket achter een slang.
Er is geen lekkage ontstaan. SAP- melding gemaakt om het leidingwerk te vervangen.",Process Safety,H2 leiding verbogen,Non-Process Safety
Oskarshamn 3 - TIL - Utokat arbete pa AO/ABT som AGO:n inte tackte.,Process Safety,Oskarshamn 3 - TIL - Utokat arbete pa AO/ABT som AGO:n inte tackte.,Non-Process Safety
Oskarshamn 2 - RIO - Armerad plast har slappt fran vagg i RI,Asset and Reputation damage/loss,Oskarshamn 2 - RIO - Armerad plast har slappt fran vagg i RI,Non-Process Safety
Oskarshamn 3 - RA3-25 ERF - Kraftigt roda ytor pa gul kontaminationszon i ranna pa avfallet,Process Safety,Oskarshamn 3 - RA3-25 ERF - Kraftigt roda ytor pa gul kontaminationszon i ranna pa avfallet,Non-Process Safety
WP 4.1 ej sokt av flaktmask herrarnas omkladningsrum,Asset and Reputation damage/loss,WP 4.1 ej sokt av flaktmask herrarnas omkladningsrum,Non-Process Safety
Begehung: ISMS; In der TK-Werkstaetten war die Tuere aufgekeilt. Der Keil wurde entfernt es wurde eine Unterweisung durchgefuehrt.,Information Security,Begehung: ISMS; In der TK-Werkstaetten war die Tuere aufgekeilt. Der Keil wurde entfernt es wurde eine Unterweisung durchgefuehrt.,Non-Process Safety
Blaklassat rum hade gula varden pa golvet B1 R10.32 (WP7),Operational loss,Blaklassat rum hade gula varden pa golvet B1 R10.32 (WP7),Non-Process Safety
Fuer die arbeiten sollte der Fussboden abgedeckt werden.,Asset and Reputation damage/loss,Fussboden nicht abgedeckt.,Non-Process Safety
